risk_group,exposure,observed_claims,predicted_claims,min_predicted_frequency,max_predicted_frequency,mean_predicted_frequency,n_policies,observed_frequency,predicted_frequency,calibration_ratio_observed_over_predicted,lift_observed,model
1,8534.36897521,386.0,367.7783431110654,0.0208961455651681,0.0520385997755522,0.04333637212932537,13561,0.04522888582872665,0.04309379453587729,1.0495452144756436,0.4473819714439638,Gradient Boosting
2,7692.475846979,427.0,440.042289113173,0.0520395998754151,0.0620266742077409,0.057254770437356044,13560,0.05550878657197111,0.05720424709373472,0.9703612824588804,0.5490657113038553,Gradient Boosting
3,7611.220342827,463.0,503.7580568384872,0.0620267044693913,0.0701818326831696,0.0661875803622668,13560,0.06083124376189457,0.06618624007032474,0.9190920000480411,0.6017128492318403,Gradient Boosting
4,7875.685715236,543.0,580.3137989600291,0.0701858774925052,0.0768065805908173,0.07363237513211371,13560,0.06894637744997023,0.07368422508752175,0.9357006519112616,0.6819837743581165,Gradient Boosting
5,8075.067702657,641.0,642.961106198874,0.0768067089161986,0.0823949328481359,0.07963295915682891,13561,0.07938013941221657,0.07962299882480436,0.9969498836244266,0.785189433987301,Gradient Boosting
6,8035.495129858,686.0,686.886691598718,0.0823951820669621,0.0889731503495314,0.08548626544909835,13560,0.08537121719494126,0.08548156404779707,0.9987091151865903,0.8444502391209782,Gradient Boosting
7,7151.379361466,706.0,675.5592085034019,0.0889748380984877,0.1030637247484404,0.09473624856309888,13560,0.0987222134801241,0.0944655813035928,1.045060138494796,0.976511750904062,Gradient Boosting
8,5817.667816431,665.0,664.3176049696699,0.1030639452138601,0.1260764801158423,0.11433660146399374,13560,0.11430697334107358,0.11418967633274271,1.0010272120221189,1.1306685571865622,Gradient Boosting
9,5917.430703628,979.0,877.7754681913663,0.1260785074670588,0.1836296046441855,0.14833990404796757,13560,0.16544342452540614,0.1483372619223405,1.1153193902960221,1.6364852697655021,Gradient Boosting
10,4913.631512063,1745.0,1711.87287283659,0.1836357496263609,9.760176903746508,0.37751437258911136,13561,0.35513448570899403,0.34839260303381114,1.019351394422483,3.512816277320643,Gradient Boosting
