risk_group,exposure,observed_claims,predicted_claims,min_predicted_frequency,max_predicted_frequency,mean_predicted_frequency,n_policies,observed_frequency,predicted_frequency,calibration_ratio_observed_over_predicted,lift_observed,model
1,8719.901598163,432.0,451.85467494803606,0.001675602151227,0.0597863218545714,0.051854721566406185,13561,0.049541843464266655,0.051818781423316425,0.9560596004670763,0.49004363454680894,Poisson GLM
2,8513.573525701,538.0,550.7835079697705,0.0597872980679655,0.0693421475485768,0.06471442737806256,13560,0.06319320534154917,0.06469474966147302,0.9767903218146609,0.6250762155544664,Poisson GLM
3,8432.665876923,655.0,621.2710584184248,0.0693445601733263,0.0779692596953045,0.07370666814071666,13560,0.07767413171112186,0.07367433590824551,1.0542902186163947,0.7683144419411876,Poisson GLM
4,8050.697618072,663.0,661.3637463639576,0.0779701708851113,0.0862895136679528,0.08216703574139503,13560,0.08235311167465967,0.08214986796663995,1.0024740600691195,0.8145966185210232,Poisson GLM
5,7708.032120649,664.0,698.5496852686549,0.0862899372424785,0.0951622850623947,0.09069498748172827,13561,0.08614390672052527,0.09062620320396882,0.9505408333905877,0.8520933052044305,Poisson GLM
6,7063.268922805,741.0,706.077760485408,0.0951628831806401,0.10511558502653,0.10005129389180266,13560,0.10490893212455096,0.09996472854172554,1.0494594809084257,1.0377077395559615,Poisson GLM
7,6499.045894134,710.0,719.217027204888,0.1051165968831035,0.1167621240436782,0.11075965127408861,13560,0.10924680507962588,0.11066501743802871,0.9871846371036175,1.0806158527883742,Poisson GLM
8,5943.81818772,804.0,737.920768638574,0.1167646921189789,0.1328983272109004,0.12425970674821943,13560,0.13526658699976282,0.12414928339549941,1.0895478676976917,1.3379907829614133,Poisson GLM
9,5472.489694568,872.0,802.1949599206287,0.1328983272109004,0.166235695578785,0.14686097764895295,13560,0.1593424654349826,0.14658683792806196,1.0870175500557595,1.576137572590104,Poisson GLM
10,5220.92966762,1162.0,1218.056710038639,0.1662633704391201,3.8850520616365856,0.23296116545939527,13561,0.22256572564205915,0.23330264676672025,0.9539785712958628,2.2015110761441474,Poisson GLM
